,date,person,count,cumulative_person
0,2025-06-20,User_1,3,3
2,2025-06-21,User_1,2,5
4,2025-06-22,User_1,2,7
6,2025-06-23,User_1,7,14
12,2025-06-27,User_1,12,26
19,2025-06-30,User_1,9,35
27,2025-07-02,User_1,1,36
31,2025-07-04,User_1,4,40
38,2025-07-06,User_1,1,41
41,2025-07-07,User_1,5,46
46,2025-07-08,User_1,7,53
52,2025-07-11,User_1,4,57
60,2025-07-14,User_1,2,59
65,2025-07-16,User_1,3,62
68,2025-07-18,User_1,4,66
226,2025-09-01,User_1,1,67
338,2025-09-22,User_1,1,68
359,2025-09-26,User_1,1,69
385,2025-10-02,User_1,1,70
516,2025-10-27,User_1,3,73
545,2025-10-30,User_1,1,74
614,2025-11-13,User_1,2,76
718,2025-12-02,User_1,1,77
750,2025-12-09,User_1,6,83
756,2025-12-10,User_1,9,92
770,2025-12-13,User_1,1,93
774,2025-12-14,User_1,2,95
783,2025-12-16,User_1,4,99
391,2025-10-03,User_11,13,13
409,2025-10-06,User_11,6,19
416,2025-10-07,User_11,1,20
432,2025-10-12,User_11,2,22
444,2025-10-16,User_11,2,24
450,2025-10-17,User_11,4,28
455,2025-10-18,User_11,1,29
471,2025-10-21,User_11,1,30
484,2025-10-23,User_11,1,31
493,2025-10-24,User_11,12,43
498,2025-10-25,User_11,5,48
508,2025-10-26,User_11,21,69
518,2025-10-27,User_11,2,71
534,2025-10-29,User_11,5,76
549,2025-10-31,User_11,1,77
557,2025-11-01,User_11,12,89
569,2025-11-02,User_11,48,137
690,2025-11-29,User_11,5,142
698,2025-11-30,User_11,38,180
708,2025-12-01,User_11,3,183
784,2025-12-16,User_11,1,184
394,2025-10-03,User_14,6,6
400,2025-10-04,User_14,6,12
412,2025-10-06,User_14,10,22
419,2025-10-07,User_14,7,29
425,2025-10-10,User_14,6,35
435,2025-10-12,User_14,1,36
441,2025-10-15,User_14,4,40
446,2025-10-16,User_14,1,41
452,2025-10-17,User_14,3,44
458,2025-10-18,User_14,1,45
462,2025-10-19,User_14,18,63
474,2025-10-21,User_14,7,70
480,2025-10-22,User_14,2,72
487,2025-10-23,User_14,10,82
495,2025-10-24,User_14,6,88
501,2025-10-25,User_14,3,91
511,2025-10-26,User_14,15,106
520,2025-10-27,User_14,1,107
528,2025-10-28,User_14,6,113
537,2025-10-29,User_14,4,117
552,2025-10-31,User_14,1,118
560,2025-11-01,User_14,7,125
572,2025-11-02,User_14,33,158
612,2025-11-12,User_14,1,159
622,2025-11-14,User_14,2,161
631,2025-11-16,User_14,2,163
650,2025-11-19,User_14,1,164
701,2025-11-30,User_14,5,169
711,2025-12-01,User_14,7,176
721,2025-12-02,User_14,6,182
734,2025-12-06,User_14,1,183
737,2025-12-07,User_14,33,216
743,2025-12-08,User_14,2,218
752,2025-12-09,User_14,1,219
766,2025-12-12,User_14,5,224
786,2025-12-16,User_14,3,227
521,2025-10-27,User_2,2,2
529,2025-10-28,User_2,40,42
538,2025-10-29,User_2,4,46
561,2025-11-01,User_2,5,51
573,2025-11-02,User_2,52,103
581,2025-11-03,User_2,2,105
584,2025-11-04,User_2,4,109
587,2025-11-05,User_2,5,114
590,2025-11-06,User_2,5,119
595,2025-11-07,User_2,3,122
596,2025-11-08,User_2,4,126
599,2025-11-09,User_2,3,129
603,2025-11-10,User_2,3,132
613,2025-11-12,User_2,1,133
617,2025-11-13,User_2,5,138
623,2025-11-14,User_2,15,153
632,2025-11-16,User_2,5,158
639,2025-11-17,User_2,6,164
644,2025-11-18,User_2,3,167
651,2025-11-19,User_2,8,175
658,2025-11-20,User_2,12,187
664,2025-11-21,User_2,5,192
670,2025-11-24,User_2,3,195
673,2025-11-25,User_2,5,200
678,2025-11-26,User_2,6,206
683,2025-11-27,User_2,3,209
685,2025-11-28,User_2,12,221
692,2025-11-29,User_2,23,244
712,2025-12-01,User_2,10,254
722,2025-12-02,User_2,4,258
727,2025-12-03,User_2,5,263
729,2025-12-04,User_2,4,267
732,2025-12-05,User_2,4,271
744,2025-12-08,User_2,2,273
758,2025-12-10,User_2,1,274
763,2025-12-11,User_2,1,275
767,2025-12-12,User_2,2,277
771,2025-12-13,User_2,1,278
776,2025-12-14,User_2,2,280
539,2025-10-29,User_3,8,8
547,2025-10-30,User_3,1,9
553,2025-10-31,User_3,3,12
562,2025-11-01,User_3,18,30
574,2025-11-02,User_3,140,170
582,2025-11-03,User_3,3,173
588,2025-11-05,User_3,3,176
591,2025-11-06,User_3,2,178
604,2025-11-10,User_3,2,180
607,2025-11-11,User_3,1,181
618,2025-11-13,User_3,3,184
624,2025-11-14,User_3,8,192
633,2025-11-16,User_3,4,196
640,2025-11-17,User_3,5,201
645,2025-11-18,User_3,6,207
652,2025-11-19,User_3,8,215
659,2025-11-20,User_3,5,220
665,2025-11-21,User_3,3,223
668,2025-11-22,User_3,1,224
674,2025-11-25,User_3,8,232
679,2025-11-26,User_3,1,233
686,2025-11-28,User_3,8,241
693,2025-11-29,User_3,4,245
702,2025-11-30,User_3,16,261
713,2025-12-01,User_3,5,266
723,2025-12-02,User_3,2,268
738,2025-12-07,User_3,77,345
745,2025-12-08,User_3,11,356
753,2025-12-09,User_3,10,366
759,2025-12-10,User_3,15,381
768,2025-12-12,User_3,2,383
772,2025-12-13,User_3,2,385
780,2025-12-15,User_3,1,386
787,2025-12-16,User_3,21,407
503,2025-10-25,User_5,16,16
512,2025-10-26,User_5,44,60
522,2025-10-27,User_5,2,62
531,2025-10-28,User_5,1,63
541,2025-10-29,User_5,8,71
554,2025-10-31,User_5,3,74
564,2025-11-01,User_5,12,86
576,2025-11-02,User_5,181,267
600,2025-11-09,User_5,3,270
